N,S1,S2,relDifer
34901,11.0375,11.0375,3.51667e-06
35001,11.0403,11.0404,3.51667e-06
35101,11.0432,11.0432,2.86102e-06
35201,11.0461,11.0461,1.3113e-06
35301,11.0489,11.0489,9.53674e-07
35401,11.0518,11.0517,3.93391e-06
35501,11.0546,11.0546,7.51019e-06
35601,11.0574,11.0574,7.03335e-06
35701,11.0602,11.0602,3.45707e-06
35801,11.063,11.063,5.96046e-07
35901,11.0657,11.0658,1.54972e-06
36001,11.0685,11.0685,2.92063e-06
36101,11.0713,11.0713,3.69549e-06
36201,11.074,11.0741,3.8147e-06
36301,11.0768,11.0768,3.09944e-06
36401,11.0796,11.0796,1.78814e-06
36501,11.0823,11.0823,2.38419e-07
36601,11.0851,11.0851,2.98023e-06
36701,11.0879,11.0878,6.31809e-06
36801,11.0906,11.0905,9.53674e-06
36901,11.0933,11.0932,5.72205e-06
37001,11.096,11.0959,2.26498e-06
37101,11.0986,11.0986,3.57628e-07
37201,11.1013,11.1013,2.20537e-06
37301,11.104,11.104,3.51667e-06
37401,11.1066,11.1067,4.23193e-06
37501,11.1093,11.1094,4.23193e-06
37601,11.112,11.112,3.51667e-06
37701,11.1147,11.1147,2.20537e-06
37801,11.1173,11.1173,2.38419e-07
37901,11.12,11.12,2.26498e-06
38001,11.1227,11.1226,5.36442e-06
38101,11.1253,11.1252,9.17912e-06
38201,11.1279,11.1279,7.51019e-06
38301,11.1305,11.1305,3.93391e-06
38401,11.1331,11.1331,1.07288e-06
38501,11.1357,11.1357,1.3113e-06
38601,11.1382,11.1383,2.98023e-06
38701,11.1408,11.1409,4.11272e-06
38801,11.1434,11.1434,4.64916e-06
38901,11.146,11.146,4.52995e-06
39001,11.1485,11.1486,3.8743e-06
39101,11.1511,11.1511,2.563e-06
39201,11.1537,11.1537,6.55651e-07
39301,11.1563,11.1562,1.78814e-06
39401,11.1588,11.1588,4.64916e-06
39501,11.1614,11.1613,8.34465e-06
39601,11.164,11.1638,9.65595e-06
39701,11.1664,11.1664,5.84126e-06
39801,11.1689,11.1689,2.5034e-06
39901,11.1714,11.1714,1.78814e-07
40001,11.1739,11.1739,2.32458e-06
40101,11.1764,11.1764,3.8147e-06
40201,11.1788,11.1789,4.70877e-06
40301,11.1813,11.1814,5.1856e-06
40401,11.1838,11.1838,5.00679e-06
40501,11.1863,11.1863,4.35114e-06
40601,11.1887,11.1888,3.15905e-06
40701,11.1912,11.1912,1.43051e-06
40801,11.1937,11.1937,8.34465e-07
40901,11.1962,11.1961,3.69549e-06
41001,11.1987,11.1986,7.03335e-06
41101,11.2011,11.201,1.09673e-05
41201,11.2035,11.2035,8.46386e-06
41301,11.2059,11.2059,4.88758e-06
41401,11.2083,11.2083,1.90735e-06
41501,11.2107,11.2107,6.55651e-07
41601,11.2131,11.2131,2.6226e-06
41701,11.2155,11.2155,4.17233e-06
41801,11.2179,11.2179,5.1856e-06
41901,11.2202,11.2203,5.60284e-06
42001,11.2226,11.2227,5.60284e-06
42101,11.225,11.2251,5.00679e-06
42201,11.2274,11.2274,4.05312e-06
42301,11.2298,11.2298,2.44379e-06
42401,11.2322,11.2322,4.17233e-07
42501,11.2345,11.2345,2.14577e-06
42601,11.2369,11.2369,5.126e-06
42701,11.2393,11.2392,8.70228e-06
